序号,第三版题号,第三版题面PDF物理页,二版答案PDF物理页,证据等级,变式数,状态
1,4-1,122,52,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
2,4-2,122,52,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
3,4-3,122,52-53,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
4,4-4,122,53,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
5,4-5,122,54,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
6,4-6,122,54-55,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
7,4-7,122,55,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
8,4-8,123,55-56,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
9,4-9,123,56,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
10,4-10,123,56-57,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
11,4-11,123,57,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
12,4-12,123,57,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
13,4-13,123,58,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
14,4-14,123,58-59,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
15,4-15,123,60,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
16,4-16,123,60,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
17,4-17,124,60-61,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
18,4-18,124,61,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
19,4-19,124,61-62,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
20,4-20,124,62-63,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
21,4-21,124,63,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
22,4-22,124,63-64,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
23,4-23,124,64,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
24,4-24,124,64,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
25,4-25,124,64-65,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
26,4-26,124,65-66,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
27,4-27,125,66-67,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
28,4-28,125,67,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
29,4-29,125,67-68,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
30,4-30,125,68-69,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
31,4-31,125,69,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
32,4-32,125,69-71,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
33,4-33,125,71,A-第三版整页题面；B-二版答案跨版核对；A-独立推导,3,严格闭合
