题号,题目主题,第三版物理页,二版答案物理页,证据边界,交付结构,状态
6-1,力关于坐标原点的力矩,180,101,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-2,地球绕太阳公转的角动量,180,101,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-3,由角动量函数求力矩与角速度,180,101,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-4,两人同时爬到滑轮轴高度,180,101-102,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-5,两质点相对质心的角动量与绳张力,180,102-103,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-6,两名滑冰者缓慢收绳,180,103-104,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-7,椭圆轨道近、远点距离,180,104,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-8,由近地切向速度求远地点,180,104,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-9,月球表面重力和逃逸速度,180,105,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-10,弹簧连接两体的最大分离距离,180,105,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-11,从5R处发射并恰好掠过行星表面,180-181,106,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-12,空间站抛出物体后转入月面相切轨道,180-181,106-107,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-13,圆轨道上的小径向冲量,181,107-108,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-14,天狼星双星系统,181,108-109,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-15,细绳碰光滑钉后的最大距离与最小张力,181,109-111,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
6-16,由小高度上抛求逃逸速度与黑洞半径比,181,111-112,第三版题面为A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固,closed
