书目或资料,当前可验证完成,尚未解决,下一动作
姚启钧《光学教程》第五版,教材正式题清零,学习指导第9章综合评估去重整理,按教材题去重
蔡履中《光学》第三版,第1、2章；第3章3.1--3.15可读成品,第3章3.16起及第4--7章,3.16
郭永康《光学学习指导》,未正式启动,第1--9章思考题与习题,第1章第一题
丁文革《光学指导·考研参考书》,Library出现v053/v054目录名但目录为空，不计完成量,第1--5章实际未闭合部分,以可读成品重新核定
《普通物理实验3·光学部分》,未启动,23个实验模块,薄透镜焦距测量
梁铨廷《物理光学》第4版,第1--7章210道教材正式题全部闭合,教材章末题0；配套指导书独有题和8套模拟题待恢复,指导书原始字节恢复后
韩军《物理光学学习指导》,未启动,第1--7章及附录,第1章第一题
钟锡华《现代光学基础》及题解,Library仅见空目录名，未找到可读闭合成品,未闭合章节及186题证据账,以实际可读文件核定
山大光学课件,仅作补充资料,412页概念、例题和图示去重整理,不计正式题
《大学物理通用教程·光学·近代物理》,光学58题清零,近代物理第5--9章另账,第5章
