题号,题目主题,第三版物理页,二版答案物理页,证据边界,交付状态
8-1,浸没立方体的弹簧秤与台秤读数,257-258,145,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-2,液体静力学佯谬,257-258,145-146,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-3,上端悬挂的斜浮杆,257-258,146-147,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-4,下端系在容器底部的斜浮杆,257-258,147,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-5,水平加速U形管中的液面高差,257-258,147-148,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-6,钢块浮在水银上并加水,257,148,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-7,虹吸管各点压强与流量,257-258,149,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-8,文丘里管与水银差压计,258-259,149-150,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-9,压缩空气驱动的出水,258-259,150,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-10,截锥形喷嘴与喷泉,259,150-151,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-11,封堵与出流时的压力计读数,259,151,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-12,截锥容器斜向小孔射流,259,151-152,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-13,竖直矩形小门静水力矩,259,152,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-14,薄壁小孔缩流,259,152-153,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-15,文丘里低压吸液条件,259-260,153,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-16,有限截面容器放水时间,260,153-154,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-17,旋转封闭粗管与液柱,260,154-155,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
8-18,斯托克斯模型反求黏度,260,155-156,第三版题面A-FULL-PAGE；二版答案仅跨版核对,严格全解+2本质变式+1同类巩固，closed
