problem_id,title,source_physical_pages
DING-C5-MC01,普通窗玻璃在可见光区属于一般吸收,211
DING-C5-MC02,吸收介质中的光强按传播距离指数衰减,211
DING-C5-MC03,石英棱镜正常色散中蓝光偏折最大,212
DING-C5-MC04,彩虹来自水滴中的折射、色散与内反射,212
DING-C5-MC05,主虹中红光在外侧、蓝紫光在内侧,212
DING-C5-MC06,地平线附近太阳显得更大主要是视觉错觉,212
DING-C5-MC07,初升太阳偏红源于短波光被更强散射,212
DING-C5-MC08,晴朗天空呈蓝色来自分子散射,212
DING-C5-MC09,Rayleigh散射强度比的四次方计算,212
DING-C5-MC10,Lambert光源的发光强度与光亮度,212
DING-C5-MC11,Stefan--Boltzmann定律给出黑体辐出度的四次方律,212
DING-C5-MC12,Wien位移定律估算太阳表面温度,212
DING-C5-MC13,绿光已能触发光电效应时蓝光和紫光也能触发,212
DING-C5-MC14,入射频率加倍后的光电子最大初动能,212
DING-C5-MC15,能级间隔与自发、受激跃迁强度的条件性判断,212
DING-C5-MC16,激光的稳健主要特征：高亮度与小发散角,213
DING-C5-MC17,增益系数不是输出激光束本身的特征参数,213
DING-C5-MC18,激光器的光学核心：工作物质与谐振腔,213
DING-C5-MC19,世界第一台激光器是红宝石激光器,213
DING-C5-MC20,氦氖激光Ne谱线的主要加宽机制是Doppler加宽,213
DING-C5-MC21,Q开关和锁模都可产生短脉冲,213
DING-C5-F01,吸收系数与辐射亮度的SI单位,213
DING-C5-F02,有色介质强吸收带对应反常色散区,213
DING-C5-F03,Rayleigh线两侧的频移散射是Raman散射,213
DING-C5-F04,Rayleigh与Mie散射的本质区分是粒径参数,213
DING-C5-F05,90度Compton散射的波长差等于电子Compton波长,213
DING-C5-F06,黑体总辐出度与Planck常数的单位,213
DING-C5-F07,总辐出度加倍时峰值波长缩短到约547 nm,213
DING-C5-F08,光电发射阈值与遏止电压口径,213
DING-C5-F09,光电截止电压与入射频率线性,213
DING-C5-F10,光具有波粒二象性,213
DING-C5-F11,0.5c电子束圆孔衍射第一暗环半角,213
DING-C5-F12,高斯光束与点光源球面波的同异,213
DING-C5-F13,三能级与四能级激光的本质差别,213
DING-C5-F14,维持100个上能级粒子所需补充速率,213--214
DING-C5-F15,旧教材列举的两类常用激光器,214
DING-C5-F16,腔内Brewster窗兼顾偏振选择和低反射损耗,214
DING-C5-F17,多纵模激光单色性由单模线宽决定,214
DING-C5-F18,横模给空间分布、纵模给频率分布,214
DING-C5-SA01,非单色波在介质中的相速度与群速度,214
DING-C5-SA02,安全警示灯常用红色的散射物理,214
DING-C5-SA03,四种体现光量子性的实验现象,214
DING-C5-SA04,易产生光电效应的是频率高于阈值的光,214
DING-C5-SA05,Einstein光电方程及各量单位,214
DING-C5-SA06,德布罗意关系对宏观物体也成立但波动性不可见,214
DING-C5-SA07,光束通过介质获得净放大的条件,214
DING-C5-SA08,激光产生条件与核心特性,214
DING-C5-SA09,激光器的基本组成与应用,214
DING-C5-C01,吸收系数0.1 cm^-1、传播40 cm后的光强,214
DING-C5-C02,由厚度和透射光强反求吸收系数,214
DING-C5-C03,1 m气体管透射率0.99的吸收系数,214
DING-C5-C04,海水中光强降至80%和10%的传播距离,214
DING-C5-C05,由Raman波数差求Stokes和anti-Stokes波长,214
DING-C5-C06,200 nm光照铝：动能、截止频率与光子通量,214
DING-C5-C07,20 keV中子通过圆孔的第一暗环条件,214
DING-C5-C08,500 nm单色光的频率、波数和共振能级差,214
DING-C5-C09,腔内标准具实现单纵模输出的原理,214
DING-C5-C10,YAG脉冲的光子数与总动量,215
