source_id,topic,problem,pdf_question_page,pdf_answer_pages,status,notes
J7-01,7 反射特征在运动中的应用,1,20,199,COMPLETE-CORRECTED,两竖直墙镜像展开；补齐低抛/高抛两支与存在条件
J7-02,7 反射特征在运动中的应用,2,20,199-200,COMPLETE,斜面连续反弹；弹性/恢复系数/第r次正碰统一
J7-03,7 反射特征在运动中的应用,3,20,200-202,COMPLETE,同质量光滑弹性碰撞后速度正交；泰勒斯圆与镜像构造
J7-04,7 反射特征在运动中的应用,4,20,202,COMPLETE,圆柱深坑；水平壁碰周期与竖直回顶周期的有理同步
J7-05,7 反射特征在运动中的应用,5,20,202-203,COMPLETE,可平移圆环；相对运动正多边形与质心动量分解
J7-06,7 反射特征在运动中的应用,6,20-21,203-205,COMPLETE,矩形球台四壁连续反射；逆序镜像求可达/不可达三角形
J7-07,7 反射特征在运动中的应用,7,21,205,COMPLETE-CORRECTED,圆锥槽等高等时反跳；原题速度严格区间无物理解，重建自洽条件与角速度
J8-01,8 折射特征在运动中的应用,1,21,205,COMPLETE,公路/田野分速可达域；切线包络与等时边界
J8-02,8 折射特征在运动中的应用,2,21,205-206,COMPLETE,小岛上岸再步行；Fermat/Snell 型极值并检查边界
J8-03,8 折射特征在运动中的应用,3,21-22,206-208,COMPLETE,有沿岸水流；未知游泳时间加隐式微分求最佳下水点
J8-04,8 折射特征在运动中的应用,4,22,208,COMPLETE,沿岸步行后追船；速度界面折射法求最大船速
J8-05,8 折射特征在运动中的应用,5,22,208-209,COMPLETE-CORRECTED,沙漠/干土界面；共同垂距漏1/2且Snell速度比写反
