chapter,section,exercise,title,formal_status,variant_A,variant_B,drill,next_checkpoint
IX,2,1,正合性、共同的核与共同的余核,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.2
IX,2,2,单态在推出下保持单态,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.3
IX,2,3,阿贝尔范畴中的四引理,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.4
IX,2,4,短五引理的箭头证明,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.5
IX,2,5,广义元素关系确为等价关系,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.6
IX,2,6,单态等价于对广义元素的单射,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.7
IX,2,7,核的元素正是零的原像,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.8
IX,2,8,恒等态射与负恒等态射表示同一个元素,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.9
IX,2,9,广义元素的等价关系不尊重加法,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.10
IX,2,10,贫者元素函子一般不忠实,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.11
IX,2,11,用广义元素证明五引理,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.12
IX,2,12,两个像商之间的典范同构,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.13
IX,2,13,有限维实向量空间范畴不能嵌成 Ab 的满子范畴,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.14
IX,2,14,满子范畴何时继承阿贝尔结构,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.15
IX,2,15,加法反变函子范畴是阿贝尔范畴,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.16
IX,2,16,忠实正合函子反映正合性,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.2.17
IX,2,17,Yoneda 嵌入：充分忠实、左正合并反映正合,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.1
IX,3,1,分解的两种典范截断仍是分解,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.2
IX,3,2,复形范畴是一个函子范畴的满子范畴,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.3
IX,3,3,复形范畴本身是阿贝尔范畴,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.4
IX,3,4,短正合列范畴有核余核但通常不阿贝尔,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.5
IX,3,5,任意改变微分符号不改变复形的同构类型,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.6
IX,3,6,上同调函子的纯箭头构造,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.7
IX,3,7,正合函子与上同调交换,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.8
IX,3,8,同一次数左右两端都失去正合的例子,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.9
IX,3,9,长正合上同调序列的全部细节,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.10
IX,3,10,用蛇引理一次性制造长正合列,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.11
IX,3,11,长正合上同调序列的自然性,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.12
IX,3,12,用长正合列重做三列引理,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.13
IX,3,13,Differential objects、同调对象与 exact triangle,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.14
IX,3,14,special triangle 中一个顶点正合时的上同调同构,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.3.15
IX,3,15,Grothendieck 群与复形的 Euler 特征,CLOSED,COMPLETE,COMPLETE,COMPLETE,IX.4.1
