书目,范围,分母,已完成,剩余,状态,下一断点,备注
赵凯华、陈熙谋《新概念物理教程·电磁学》,Ch1—6正式习题,316,316,0,FORMAL_COMPLETE,二轮QA/前五章思考题总账,正式六章已闭合
沈克琦《新编高中物理学3·电磁学》,第12章全部题位,87,87,0,COMPLETE,第13章分母冻结,17思考+46章内练习+24章末题
沈克琦《新编高中物理学3·电磁学》,第13章 恒定电流,待冻结,0,待冻结,DENOMINATOR_PENDING,整章扫描冻结及首题,全部章内题与章末题
沈克琦《新编高中物理学3·电磁学》,第14章 磁场,待冻结,0,待冻结,DENOMINATOR_PENDING,整章扫描冻结,全部章内题与章末题
沈克琦《新编高中物理学3·电磁学》,第15章 电磁感应,待冻结,0,待冻结,DENOMINATOR_PENDING,整章扫描冻结,全部章内题与章末题
沈克琦《新编高中物理学3·电磁学》,第16章 交流电,待冻结,0,待冻结,DENOMINATOR_PENDING,整章扫描冻结,全部章内题与章末题
沈克琦《新编高中物理学3·电磁学》,第17章 电磁振荡和电磁波,待冻结,0,待冻结,DENOMINATOR_PENDING,整章扫描冻结,全部章内题与章末题
仝响《物理奥林匹克竞赛大题典·电磁学卷》,习题编全部正式题,待冻结,0,待冻结,PENDING,静电场首题,习题编—答案编结构已确认
程稼夫《中学奥林匹克竞赛物理教程·电磁学篇》,六章例题与习题,待冻结,0,待冻结,PENDING,第1章首题,静电/电流/静磁/感应/交流/电磁波
江四喜《物理竞赛专题精编》,96专题中的电磁专题,待抽取,0,待抽取,PENDING,建立电磁专题分母,需跨书去重
范小辉《新编高中物理奥赛实用题典》,第8—11章,待冻结,0,待冻结,PENDING,第8章首题,静电/电流/磁场感应/交流波
范小辉《新编高中物理奥赛指导》,第8—11章例题、习题、综合题,待冻结,0,待冻结,PENDING,第8章首题,
原299页电磁笔记体系,249来源+747变式,996条目,996条目内容已保留,QA/并账,QA_MAINTENANCE,二轮数学QA,难度重标及跨书并账
《新概念物理题解·下册》,热学/光学/量子主体,不计电磁正式分母,—,—,REFERENCE_ONLY,,仅跨学科补充
